Fecha,Hora,Zona horaria,Ventas brutas,Descuentos,Ventas netas,Impuestos,Propinas,Reembolsos parciales,Total recibido,Fuente,Tarjeta,Métodos de ingreso de tarjeta,Efectivo,Tarjeta de regalo Square,Otra forma de pago,Otra forma de pago,Otra forma de pago,Comisiones,Total neto,Identificación de transacción,ID de pago,Marca de tarjeta,Prefijo PAN,Nombre del dispositivo,Nombre de personal,ID de personal,Información,Descripción,Tipo de evento,Ubicación,Opción de servicio,Alias del dispositivo
07/07/2017,21:13:37,Ciudad de México,$24.50,$0.00,$24.50,$0.00,$0.00,$0.00,$24.50,Punto de venta,$0.00,N/D,$24.50,$0.00,$0.00,,,$0.00,$24.50,PsRNbY536KQdlhKw5qpA84keV,z88lQgik5ZVvI2EhhgCOLQB,,,iPad de Mcklein,,,https://squareup.com/dashboard/sales/transactions/PsRNbY536KQdlhKw5qpA84keV/by-unit/24X11KTH1BG6A,Importe personalizado - Ajuste de corte.....Areli Gómez autorizó ,Pago,contabilidad@mckleincorp.com,,Las Aguilas
07/07/2017,21:11:12,Ciudad de México,$38.00,$0.00,$38.00,$0.00,$0.00,$0.00,$38.00,Punto de venta,$0.00,N/D,$38.00,$0.00,$0.00,,,$0.00,$38.00,PUrkfNlYlCQHmOckhkReVz9eV,Xwh95TwDcWuQ9wCV1mndLQB,,,iPad de Mcklein,,,https://squareup.com/dashboard/sales/transactions/PUrkfNlYlCQHmOckhkReVz9eV/by-unit/24X11KTH1BG6A,Clásica,Pago,contabilidad@mckleincorp.com,,Las Aguilas
07/07/2017,21:09:49,Ciudad de México,$96.00,$0.00,$96.00,$0.00,$0.00,$0.00,$96.00,Punto de venta,$0.00,N/D,$96.00,$0.00,$0.00,,,$0.00,$96.00,ljXZJk9PCbl4Ec7TCMD7wbjeV,3gFjHB7C5NnZ1Q0BVlk9JQB,,,iPad de Mcklein,,,https://squareup.com/dashboard/sales/transactions/ljXZJk9PCbl4Ec7TCMD7wbjeV/by-unit/24X11KTH1BG6A,"Kinder, Clásica",Pago,contabilidad@mckleincorp.com,,Las Aguilas
07/07/2017,20:56:53,Ciudad de México,$62.00,$0.00,$62.00,$0.00,$0.00,$0.00,$62.00,Punto de venta,$0.00,N/D,$62.00,$0.00,$0.00,,,$0.00,$62.00,V9gtRwAg8YbpxbJBuCxarOheV,nuy4tNYp9AFvoB03bu6EKQB,,,iPad de Mcklein,,,https://squareup.com/dashboard/sales/transactions/V9gtRwAg8YbpxbJBuCxarOheV/by-unit/24X11KTH1BG6A,Nuez,Pago,contabilidad@mckleincorp.com,,Las Aguilas
07/07/2017,20:53:00,Ciudad de México,$452.00,$0.00,$452.00,$0.00,$0.00,$0.00,$452.00,Punto de venta,$0.00,N/D,$0.00,$0.00,$452.00,Tarjeta registrada,,$0.00,$452.00,zeF9m2nctkdtfhIaXw4ubR5eV,lhgsocBfRmW4ZUJJYPLzJQB,,,iPad de Mcklein,,,https://squareup.com/dashboard/sales/transactions/zeF9m2nctkdtfhIaXw4ubR5eV/by-unit/24X11KTH1BG6A,"4 x Cereales, Kinder, 2 x Nuez, Clásica",Pago,contabilidad@mckleincorp.com,,Las Aguilas
07/07/2017,20:42:49,Ciudad de México,$38.00,-$9.50,$28.50,$0.00,$0.00,$0.00,$28.50,Punto de venta,$0.00,N/D,$28.50,$0.00,$0.00,,,$0.00,$28.50,xtXAhm9OotcMlVCEfXejbNleV,HcPDDRsoUji8wBu9SR0jLQB,,,iPad de Mcklein,,,https://squareup.com/dashboard/sales/transactions/xtXAhm9OotcMlVCEfXejbNleV/by-unit/24X11KTH1BG6A,Clásica,Pago,contabilidad@mckleincorp.com,,Las Aguilas
07/07/2017,19:23:17,Ciudad de México,$151.00,$0.00,$151.00,$0.00,$0.00,$0.00,$151.00,Punto de venta,$0.00,N/D,$151.00,$0.00,$0.00,,,$0.00,$151.00,vkN53wxeOPcAXcPhufNpVPkeV,LSbyGjTEjEhgn5vQKspIKQB,,,iPad de Mcklein,,,https://squareup.com/dashboard/sales/transactions/vkN53wxeOPcAXcPhufNpVPkeV/by-unit/24X11KTH1BG6A,"Piña Colada, Nuez, Vainilla, Clásica",Pago,contabilidad@mckleincorp.com,,Las Aguilas
07/07/2017,19:22:22,Ciudad de México,$39.00,$0.00,$39.00,$0.00,$0.00,$0.00,$39.00,Punto de venta,$0.00,N/D,$39.00,$0.00,$0.00,,,$0.00,$39.00,Rzy0nyhIc1GhYayNkLIhlZ4eV,HacK3LARU9OMtqATajAaLQB,,,iPad de Mcklein,,,https://squareup.com/dashboard/sales/transactions/Rzy0nyhIc1GhYayNkLIhlZ4eV/by-unit/24X11KTH1BG6A,Mango,Pago,contabilidad@mckleincorp.com,,Las Aguilas
07/07/2017,16:43:41,Ciudad de México,$95.00,$0.00,$95.00,$0.00,$0.00,$0.00,$95.00,Punto de venta,$0.00,N/D,$95.00,$0.00,$0.00,,,$0.00,$95.00,Lwmm1L8QY83H0n3PDMu15vAfV,l542YRmG1FPS1FpkeTgvKQB,,,iPad de Mcklein,,,https://squareup.com/dashboard/sales/transactions/Lwmm1L8QY83H0n3PDMu15vAfV/by-unit/24X11KTH1BG6A,"Clásica, Crunchy",Pago,contabilidad@mckleincorp.com,,Las Aguilas
06/07/2017,20:47:30,Ciudad de México,$76.00,$0.00,$76.00,$0.00,$0.00,$0.00,$76.00,Punto de venta,$0.00,N/D,$76.00,$0.00,$0.00,,,$0.00,$76.00,p30pKPrdLVvkvKVrKu6fifyeV,PuWVwn8WMV5MrjhyqanIKQB,,,iPad de Mcklein,,,https://squareup.com/dashboard/sales/transactions/p30pKPrdLVvkvKVrKu6fifyeV/by-unit/24X11KTH1BG6A,2 x Clásica,Pago,contabilidad@mckleincorp.com,,Las Aguilas
05/07/2017,19:39:20,Ciudad de México,$115.00,$0.00,$115.00,$0.00,$0.00,$0.00,$115.00,Punto de venta,$0.00,N/D,$115.00,$0.00,$0.00,,,$0.00,$115.00,hZn1GOdspfMjaqKRMrNkhD1eV,NrR5d49wjYOal5ATnxsDKQB,,,iPad de Mcklein,,,https://squareup.com/dashboard/sales/transactions/hZn1GOdspfMjaqKRMrNkhD1eV/by-unit/24X11KTH1BG6A,"2 x Clásica, Manzana",Pago,contabilidad@mckleincorp.com,,Las Aguilas
05/07/2017,19:29:04,Ciudad de México,$58.00,$0.00,$58.00,$0.00,$0.00,$0.00,$58.00,Punto de venta,$0.00,N/D,$58.00,$0.00,$0.00,,,$0.00,$58.00,ljv7CReKcTfdHaEG6a6BHEoeV,HAZZsv6YtH3aY3AAfBF1JQB,,,iPad de Mcklein,,,https://squareup.com/dashboard/sales/transactions/ljv7CReKcTfdHaEG6a6BHEoeV/by-unit/24X11KTH1BG6A,Kinder,Pago,contabilidad@mckleincorp.com,,Las Aguilas
05/07/2017,17:54:22,Ciudad de México,$38.00,$0.00,$38.00,$0.00,$0.00,$0.00,$38.00,Punto de venta,$0.00,N/D,$38.00,$0.00,$0.00,,,$0.00,$38.00,JthOurOsJ6OuEvRUlMuvpKneV,p7aNNWeErdwRaA21vRAZKQB,,,iPad de Mcklein,,,https://squareup.com/dashboard/sales/transactions/JthOurOsJ6OuEvRUlMuvpKneV/by-unit/24X11KTH1BG6A,Clásica,Pago,contabilidad@mckleincorp.com,,Las Aguilas
