Date,page_fans:lifetime,page_fan_adds_unique:day,page_fan_removes_unique:day,page_engaged_users:day,page_engaged_users:days_28,page_impressions_unique:day,page_impressions_unique:days_28,page_impressions_organic_unique:day,page_impressions_organic_unique:days_28,page_impressions_paid_unique:day,page_impressions_paid_unique:days_28,page_impressions:day,page_impressions:days_28,page_impressions_organic:day,page_impressions_organic:days_28,page_impressions_paid:day,page_impressions_paid:days_28,page_views_logged_in_total:day,page_views_logged_in_unique:day,page_posts_impressions_unique:day,page_posts_impressions_unique:days_28,page_posts_impressions_organic_unique:day,page_posts_impressions_organic_unique:days_28,page_posts_impressions_paid_unique:day,page_posts_impressions_paid_unique:days_28,page_posts_impressions:day,page_posts_impressions:days_28,page_posts_impressions_organic:day,page_posts_impressions_organic:days_28,page_posts_impressions_paid:day,page_posts_impressions_paid:days_28,page_consumptions_unique:day,page_consumptions_unique:days_28,page_consumptions:day,page_consumptions:days_28,page_negative_feedback_unique:day,page_negative_feedback_unique:days_28,page_negative_feedback:day,page_negative_feedback:days_28,page_places_checkin_total:day,page_places_checkin_total:days_28,page_places_checkin_total_unique:day,page_places_checkin_total_unique:days_28,page_places_checkin_mobile:day,page_places_checkin_mobile:days_28,page_places_checkin_mobile_unique:day,page_places_checkin_mobile_unique:days_28,page_video_views:day,page_video_views:days_28,page_video_views_autoplayed:day,page_video_views_autoplayed:days_28,page_video_views_paid:day,page_video_views_paid:days_28,page_video_views_organic:day,page_video_views_organic:days_28
1/2/17,7074,1,0,19,4097,1011,58084,886,4340,0,43827,2287,174658,2087,63456,0,87380,5,4,995,53212,881,4010,0,43827,2252,162425,2077,60741,0,87380,11,1998,35,4409,0,1,0,1,0,9,0,8,0,0,0,0,0,28,0,15,0,0,0,28
1/3/17,7076,5,3,298,4165,3854,58193,2090,4496,795,43689,6047,175943,4087,65488,806,86072,46,32,3821,53543,2077,4251,795,43689,5902,163983,3996,62775,806,86072,130,2030,208,4471,0,1,0,1,0,8,0,7,0,0,0,0,0,28,0,15,0,0,0,28
1/4/17,7110,34,1,797,4578,11900,62828,654,4469,9480,46831,13794,183478,1274,64192,9671,92857,65,58,11656,58097,584,4142,9480,46831,13233,171193,1131,61444,9671,92857,202,2155,260,4530,0,1,0,1,0,8,0,7,0,0,0,0,1,28,1,15,0,0,1,28
1/5/17,7148,40,2,791,5208,11938,67079,250,4496,10347,50679,13106,188651,454,63442,10749,97680,58,42,11772,63077,203,4135,10347,50679,12718,176156,337,60698,10749,97680,145,2210,191,4388,0,1,0,1,0,8,0,7,0,0,0,0,0,23,0,11,0,0,0,23
1/6/17,7172,24,0,794,5694,12884,72712,783,4523,11041,55336,14364,198825,1203,63113,11382,106913,33,30,12850,68770,736,4127,11041,55336,14060,186234,1044,60335,11382,106913,155,2276,220,4478,0,1,0,1,0,8,0,7,0,0,0,0,0,22,0,10,0,0,0,22
1/7/17,7195,24,0,837,6151,12947,76374,931,4443,10760,58554,14544,203008,1548,61803,11406,112348,39,27,12859,72292,904,4068,10760,58554,14320,190612,1448,59082,11406,112348,148,2273,212,4419,0,1,0,1,0,7,0,6,0,0,0,0,1,23,0,10,0,0,1,23
1/8/17,7206,11,1,423,6429,7320,79134,904,4469,5764,59978,8951,205893,1725,59598,5840,117341,38,30,7285,74787,867,4068,5764,59978,8615,193551,1587,56862,5840,117341,85,2276,183,4440,1,2,1,2,1,8,1,7,0,0,0,0,0,22,0,10,0,0,0,22
1/9/17,7211,9,3,186,6526,4010,79622,449,4391,3201,60334,5410,207370,1225,57416,3487,120828,27,21,3961,75025,426,3989,3201,60334,5222,195004,1144,54691,3487,120828,48,2298,72,4433,1,3,1,3,0,8,0,7,0,0,0,0,0,22,0,10,0,0,0,22
1/10/17,7221,11,1,287,6732,4827,81064,1205,4496,3423,61382,6522,211932,2207,57973,3532,124360,25,22,4816,76402,1187,4053,3423,61382,6379,199534,2128,55254,3532,124360,84,2344,182,4505,0,3,0,3,0,8,0,7,0,0,0,0,0,22,0,10,0,0,0,22
1/11/17,7232,12,1,227,6885,4969,82142,445,4487,4120,62413,5871,215426,852,57675,4250,127542,45,31,4806,77218,417,4053,4120,62413,5423,202704,734,54923,4250,127542,82,2405,235,4414,0,3,0,3,2,10,1,8,0,0,0,0,0,20,0,8,0,0,0,20
