Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,post_impressions_unique:lifetime,post_impressions_organic_unique:lifetime,post_impressions_paid_unique:lifetime,post_impressions:lifetime,post_impressions_organic:lifetime,post_impressions_paid:lifetime,post_engaged_users:lifetime,post_consumptions_unique:lifetime,post_consumptions:lifetime,post_negative_feedback:lifetime,post_impressions_fan:lifetime,post_impressions_fan_unique:lifetime,post_impressions_fan_paid:lifetime,post_impressions_fan_paid_unique:lifetime,post_engaged_fan:lifetime,post_video_complete_views_organic_unique:lifetime,post_video_complete_views_organic:lifetime,post_video_complete_views_paid_unique:lifetime,post_video_complete_views_paid:lifetime,post_video_views_organic_unique:lifetime,post_video_views_organic:lifetime,post_video_views_paid_unique:lifetime,post_video_views_paid:lifetime,post_video_avg_time_watched:lifetime,post_video_length:lifetime
1517032341862724_1954993401399947,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1954993401399947,McKlein's cover photo,Photo,,,6/28/17 3:00 PM, ,130,126,0,181,177,0,7,2,2,0,173,123,0,0,6,0,0,0,0,0,0,0,0,0,0
1517032341862724_1954956014737019,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1954956014737019:0,"LISTO BEIBIS, YA ESTOY A SUS ÓRDENES PA' SUS DESÓRDENES EN CHAPALITA!??????  ADEMÁS LOS ESPERO EL SÁBADO PARA FESTEJAR LA INAUGURACIÓN APARTIR DE LAS 5 PM.????????  ??Av. Guadalupe  #1623 B  Col. Chapalita??  (Frente a pasteleria OK y Dominos Pizza)",Photo,,,6/28/17 1:36 PM, ,1180,914,0,1662,1270,0,75,58,76,1,1335,936,0,0,64,0,0,0,0,0,0,0,0,0,0
1517032341862724_1952649241634363,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1952649241634363:0,¡Faltan pocos días BEIBIS !  ????????   ??Colonia Chapalita   *****INAUGURACIÓN 1ro de Julio ***** -Registrate en el evento- https://www.facebook.com/events/1912102679001783/   Av. Guadalupe #1623 -B  entre Niño Obrero y Santa Rita   #manzanasmcklein #comemébeibi #mckleinenchapalita,Photo,,,6/24/17 4:04 PM, ,2715,2395,181,4761,4288,286,76,52,69,1,3312,1917,286,181,68,0,0,0,0,0,0,0,0,0,0
1517032341862724_1912102679001783,https://www.facebook.com/events/1912102679001783/,Inauguración McKlein Chapalita,Status,,,6/24/17 3:49 PM, ,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1517032341862724_1951606528405301,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1951606528405301:0,¡Así es BEIBIS ! Toda esta sabrosura esta en McKlein ????????   ??Colonia Chapalita   *****INAUGURACIÓN 1ro de Julio ***** -Registrate en el evento- https://www.facebook.com/events/1912102679001783/   Av. Guadalupe #1623 -B  entre Niño Obrero y Santa Rita  ??Colonia Las Águilas     Av. 18 de Marzo #5279-A entre Río Lerma y Río Tuito   #manzanasmcklein #comemébeibi #mckleinenchapalita,Photo,,,6/23/17 12:00 PM, ,2963,2831,0,5991,5872,0,71,59,66,0,2957,1725,0,0,67,0,0,0,0,0,0,0,0,0,0
1517032341862724_1950364691862818,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1950364691862818:0,Todo esto y más podrás disfrutar en McKlein ????????   ??Colonia Chapalita   *****INAUGURACIÓN 1ro de Julio ***** -Registrate en el evento- https://www.facebook.com/events/1912102679001783/    Av. Guadalupe #1623 -B  entre Niño Obrero y Santa Rita  ??Colonia Las Águilas     Av. 18 de Marzo #5279-A entre Río Lerma y Río Tuito  #máscercadeustedes #manzanasmcklein #comemébeibi #mckleinenchapalita,Photo,,,6/20/17 1:57 PM, ,4315,4165,0,9079,8748,0,90,67,78,0,6230,3607,0,0,80,0,0,0,0,0,0,0,0,0,0
1517032341862724_1949588841940403,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1949588841940403,McKlein updated their business hours.,Link,,,6/19/17 4:32 AM, ,225,219,0,306,300,0,8,4,6,0,298,217,0,0,6,0,0,0,0,0,0,0,0,0,0
1517032341862724_1949228178643136,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1949228178643136,"¡ Muchas felicidades Jesús David Alcazar !, Ahora podrás disfrutar de la sabrosura de 3 Mcklein y 3 Frillazos ;)",Link,,,6/18/17 9:44 AM, ,507,485,0,749,718,0,20,11,12,0,716,481,0,0,19,0,0,0,0,0,0,0,0,0,0
1517032341862724_1947791528786801,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1947791528786801,Ya merito ;)  #manzanasmcklein #comemébeibi,Link,,,6/15/17 3:45 PM, ,730,603,0,1040,858,0,33,15,15,0,855,601,0,0,32,0,0,0,0,0,0,0,0,0,0
1517032341862724_1945938722305415,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1945938722305415,¡BEIBIS Ya merito! Así que esten atentas ????????...  #mckleinenchapalita #yamerito,Link,,,6/12/17 2:14 PM, ,424,401,0,605,582,0,14,2,2,0,579,397,0,0,14,0,0,0,0,0,0,0,0,0,0
